number,target,actual,normalized_rms
001,001_triangle_angle_sum.png,001_triangle_angle_sum_actual_v2.png,0.1643
002,002_pythagorean_rearrangement.png,002_pythagorean_actual.png,0.1834
003,003_triangle_area_dissection.png,003_triangle_area_actual.png,0.1618
004,004_parallelogram_cut_and_slide.png,004_parallelogram_actual.png,0.146
005,005_trapezoid_doubling_proof.png,005_trapezoid_actual.png,0.1496
006,006_circle_sectors_to_rectangle.png,006_circle_area_actual_v2.png,0.1931
007,007_polygon_triangulation.png,007_polygon_actual_v2.png,0.1286
008,008_similar_triangle_ratios.png,008_similar_actual.png,0.1548
009,009_intersecting_chords_theorem.png,009_chords_actual.png,0.1411
010,010_center_and_circumference_angles.png,010_circle_angles_actual_v2.png,0.1468
011,011_derivative_as_slope.png,011_derivative_actual.png,0.119
012,012_integral_as_accumulated_area.png,012_integral_actual_v2.png,0.1882
013,013_epsilon_delta_limit.png,013_epsilon_actual.png,0.2551
014,014_square_of_a_binomial.png,014_binomial_actual.png,0.1632
015,015_absolute_value_inequality.png,015_absolute_actual.png,0.1212
016,016_equation_as_a_balance.png,016_balance_actual_v2.png,0.1931
017,017_matrix_area_transformation.png,017_matrix_actual.png,0.1283
018,018_eigenvector_direction.png,018_eigen_actual.png,0.1177
019,019_odd_numbers_build_squares.png,019_odd_actual.png,0.2675
020,020_congruence_on_a_clock.png,020_clock_actual.png,0.1234
021,021_normal_probability_area.png,021_normal_actual.png,0.1349
022,022_anscombes_quartet.png,022_anscombe_actual.png,0.1252
023,023_vector_addition.png,023_vector_actual.png,0.1281
024,024_circle_circumference_ratio.png,024_circle_ratio_actual.png,0.1879
025,025_shear_preserves_area.png,025_shear_actual.png,0.1362
026,026_unit_circle_identity.png,026_unit_circle_actual.png,0.1715
027,027_de_morgans_law.png,027_de_morgan_actual.png,0.17
028,028_slope_triangles.png,028_slope_actual.png,0.131
029,029_counting_paths.png,029_counting_actual.png,0.1588
030,030_sum_first_n_natural_numbers.png,030_natural_sum_actual.png,0.174
031,031_odd_numbers_build_squares_pattern.png,031_odd_actual.png,0.245
032,032_triangular_numbers.png,032_triangular_actual.png,0.173
033,033_difference_consecutive_squares.png,033_consecutive_squares_actual.png,0.1958
034,034_arithmetic_sequence_sum.png,034_arithmetic_sum_actual.png,0.2416
035,035_sum_first_n_even_numbers.png,035_even_sum_actual.png,0.3179
036,036_squares_consecutive_odd_sums.png,036_odd_sums_actual_v2.png,0.3902
037,037_sum_consecutive_integers.png,037_consecutive_integers_actual.png,0.2614
038,038_divisibility_rule_2.png,038_divisibility2_actual.png,0.4028
039,039_divisibility_rule_3.png,039_divisibility3_actual.png,0.3382
040,040_divisibility_rule_4.png,040_divisibility4_actual.png,0.3472
041,041_divisibility_rule_8.png,041_divisibility8_actual.png,0.3623
042,042_divisibility_rule_9.png,042_divisibility9_actual.png,0.3483
043,043_divisibility_rule_11.png,043_divisibility11_actual.png,0.3379
044,044_divisibility_rules_5_10.png,044_divisibility5_10_actual.png,0.2422
045,045_last_digit_parity.png,045_last_digit_parity_actual.png,0.2316
046,046_factor_pairs_rectangles.png,046_factor_pairs_actual.png,0.2562
047,047_multiples_number_line.png,047_multiples_number_line_actual.png,0.1331
048,048_prime_factorization_building_blocks.png,048_prime_factorization_actual.png,0.3247
049,049_lcm_repeating_cycles.png,049_lcm_cycles_actual.png,0.3049
050,050_euclidean_algorithm.png,050_euclidean_actual.png,0.2513
051,051_gcd_largest_equal_grouping.png,051_gcd_grouping_actual.png,0.1562
052,052_gcd_lcm_relationship.png,052_gcd_lcm_actual.png,0.2764
053,053_sieve_of_eratosthenes.png,053_sieve_actual.png,0.1712
054,054_composite_factor_at_most_sqrt_n.png,054_composite_sqrt_actual.png,0.1153
055,055_prime_gaps_explorer.png,055_prime_gaps_actual.png,0.1109
056,056_twin_primes_explorer.png,056_twin_primes_actual.png,0.1599
057,057_fundamental_theorem_arithmetic.png,057_fundamental_actual.png,0.2722
058,058_infinitely_many_primes.png,058_infinitely_many_primes_actual.png,0.2557
059,059_modular_arithmetic_clock.png,059_final.png,0.1917
060,060_addition_modulo_n.png,060_final.png,0.1563
061,061_multiplication_modulo_n.png,061_final.png,0.1432
062,062_negative_numbers_modulo_n.png,062_final.png,0.2243
063,063_remainder_classes.png,063_final.png,0.1801
064,064_product_of_powers.png,064_final.png,0.2371
065,065_quotient_of_powers.png,065_final.png,0.139
066,066_power_of_a_power.png,066_final.png,0.1866
067,067_why_a_zero_equals_one.png,067_final.png,0.1706
068,068_negative_exponents.png,068_final.png,0.1372
069,069_perfect_numbers_divisor_pairing.png,069_final.png,0.2017
